PModel;Task;OpType;Opt;InsCount;Timer;Time;LNum;AvTime;AbsErr;RelErr;TaskPerf
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;1;0,004951;=G2-I2;=J2/I2;=1/I2;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;2;0,004951;=G3-I3;=J3/I3;=1/I3;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,004000;3;0,004951;=G4-I4;=J4/I4;=1/I4;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;4;0,004951;=G5-I5;=J5/I5;=1/I5;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;5;0,004951;=G6-I6;=J6/I6;=1/I6;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;6;0,004951;=G7-I7;=J7/I7;=1/I7;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;7;0,004951;=G8-I8;=J8/I8;=1/I8;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;8;0,004951;=G9-I9;=J9/I9;=1/I9;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;9;0,004951;=G10-I10;=J10/I10;=1/I10;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;10;0,004951;=G11-I11;=J11/I11;=1/I11;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;11;0,004951;=G12-I12;=J12/I12;=1/I12;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;12;0,004951;=G13-I13;=J13/I13;=1/I13;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,007000;13;0,004951;=G14-I14;=J14/I14;=1/I14;
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx   ;matrXvect;double;None;1999999;Chrono;0,005000;14;0,004951;=G15-I15;=J15/I15;=1/I15;
