MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError
RAM;64;double;8;1;Clock;1,1E-07;6,2E-08;1032,25806451613;4,8E-08;0,774193548387097;1,11E-07;6,7E-08;955,223880597015;4,4E-08;0,656716417910448
RAM;64;double;8;2;Clock;6E-08;6,2E-08;1032,25806451613;1,99999999999999E-09;0,032258064516129;6E-08;6,7E-08;955,223880597015;7E-09;0,104477611940298
RAM;64;double;8;3;Clock;5E-08;6,2E-08;1032,25806451613;1,2E-08;0,193548387096774;7E-08;6,7E-08;955,223880597015;3E-09;0,044776119402985
RAM;64;double;8;4;Clock;6E-08;6,2E-08;1032,25806451613;1,99999999999999E-09;0,032258064516129;7E-08;6,7E-08;955,223880597015;3E-09;0,044776119402985
RAM;64;double;8;5;Clock;5E-08;6,2E-08;1032,25806451613;1,2E-08;0,193548387096774;7E-08;6,7E-08;955,223880597015;3E-09;0,044776119402985
RAM;64;double;8;6;Clock;5E-08;6,2E-08;1032,25806451613;1,2E-08;0,193548387096774;5E-08;6,7E-08;955,223880597015;1,7E-08;0,253731343283582
RAM;64;double;8;7;Clock;6E-08;6,2E-08;1032,25806451613;1,99999999999999E-09;0,032258064516129;6,1E-08;6,7E-08;955,223880597015;6E-09;0,08955223880597
RAM;64;double;8;8;Clock;6E-08;6,2E-08;1032,25806451613;1,99999999999999E-09;0,032258064516129;6E-08;6,7E-08;955,223880597015;7E-09;0,104477611940298
RAM;64;double;8;9;Clock;6,1E-08;6,2E-08;1032,25806451613;9,99999999999996E-10;0,016129032258065;6E-08;6,7E-08;955,223880597015;7E-09;0,104477611940298
RAM;64;double;8;10;Clock;6E-08;6,2E-08;1032,25806451613;1,99999999999999E-09;0,032258064516129;6E-08;6,7E-08;955,223880597015;7E-09;0,104477611940298
;;;;;;;;;;;;;;;
RAM;65536;double;8;1;Clock;4,8399E-05;4,8528E-05;1350,47807451368;1,28999999999998E-07;0,002658259149357;3,0129E-05;2,9436E-05;2226,38945508901;6,93000000000002E-07;0,023542600896861
RAM;65536;double;8;2;Clock;4,9731E-05;4,8528E-05;1350,47807451368;1,203E-06;0,02478981206726;2,8897E-05;2,9436E-05;2226,38945508901;5,38999999999999E-07;0,01831091180867
RAM;65536;double;8;3;Clock;4,8529E-05;4,8528E-05;1350,47807451368;1,00000000000219E-09;2,06066600725806E-05;2,8957E-05;2,9436E-05;2226,38945508901;4,79E-07;0,016272591384699
RAM;65536;double;8;4;Clock;4,8159E-05;4,8528E-05;1350,47807451368;3,68999999999996E-07;0,007603857566766;2,8836E-05;2,9436E-05;2226,38945508901;5,99999999999998E-07;0,020383204239706
RAM;65536;double;8;5;Clock;4,8669E-05;4,8528E-05;1350,47807451368;1,41000000000004E-07;0,002905539070228;2,8997E-05;2,9436E-05;2226,38945508901;4,39E-07;0,014913711102052
RAM;65536;double;8;6;Clock;4,7487E-05;4,8528E-05;1350,47807451368;1,041E-06;0,021451533135509;3,105E-05;2,9436E-05;2226,38945508901;1,614E-06;0,054830819404811
RAM;65536;double;8;7;Clock;4,93E-05;4,8528E-05;1350,47807451368;7,72000000000006E-07;0,015908341575998;3,07E-05;2,9436E-05;2226,38945508901;1,264E-06;0,042940616931648
RAM;65536;double;8;8;Clock;4,8609E-05;4,8528E-05;1350,47807451368;8,10000000000014E-08;0,001669139465875;2,9027E-05;2,9436E-05;2226,38945508901;4,08999999999999E-07;0,013894550890067
RAM;65536;double;8;9;Clock;4,8339E-05;4,8528E-05;1350,47807451368;1,88999999999994E-07;0,003894658753709;2,8987E-05;2,9436E-05;2226,38945508901;4,48999999999999E-07;0,015253431172714
RAM;65536;double;8;10;Clock;4,8058E-05;4,8528E-05;1350,47807451368;4,70000000000001E-07;0,009685130234092;2,8777E-05;2,9436E-05;2226,38945508901;6,58999999999998E-07;0,022387552656611
;;;;;;;;;;;;;;;
RAM;1048576;double;8;1;Clock;0,000974994;0,001415447;740,809087164691;0,000440453;0,311175904149007;0,00100295;0,001313084;798,559726567379;0,000310134;0,236187479247329
RAM;1048576;double;8;2;Clock;0,001563614;0,001415447;740,809087164691;0,000148167;0,104678592698985;0,001522944;0,001313084;798,559726567379;0,00020986;0,15982222005599
RAM;1048576;double;8;3;Clock;0,001485704;0,001415447;740,809087164691;7,0257E-05;0,049635910069399;0,00148311;0,001313084;798,559726567379;0,000170026;0,129486003941865
RAM;1048576;double;8;4;Clock;0,00153208;0,001415447;740,809087164691;0,000116633;0,082400118125228;0,001338845;0,001313084;798,559726567379;2,5761E-05;0,019618699184515
RAM;1048576;double;8;5;Clock;0,00162876;0,001415447;740,809087164691;0,000213313;0,15070362931286;0,001300233;0,001313084;798,559726567379;1,28510000000001E-05;0,009786883398168
RAM;1048576;double;8;6;Clock;0,00136612;0,001415447;740,809087164691;4,93269999999998E-05;0,034849061815808;0,001093717;0,001313084;798,559726567379;0,000219367;0,167062427080065
RAM;1048576;double;8;7;Clock;0,00105835;0,001415447;740,809087164691;0,000357097;0,252285673712968;0,001269472;0,001313084;798,559726567379;4,36120000000002E-05;0,033213412089402
RAM;1048576;double;8;8;Clock;0,002016267;0,001415447;740,809087164691;0,00060082;0,424473682165422;0,001506809;0,001313084;798,559726567379;0,000193725;0,147534354237809
RAM;1048576;double;8;9;Clock;0,001596604;0,001415447;740,809087164691;0,000181157;0,127985717586035;0,000921608;0,001313084;798,559726567379;0,000391476;0,298134772794429
RAM;1048576;double;8;10;Clock;0,000931974;0,001415447;740,809087164691;0,000483473;0,341569129751944;0,00169115;0,001313084;798,559726567379;0,000378066;0,28792217405741
;;;;;;;;;;;;;;;
RAM;4194304;double;8;1;Clock;0,005725211;0,00429465;976,6346500879;0,001430561;0,333103046814059;0,004876622;0,004123788;1017,09981211449;0,000752834;0,182558851230956
RAM;4194304;double;8;2;Clock;0,00432168;0,00429465;976,6346500879;2,70299999999999E-05;0,006293877265901;0,003977261;0,004123788;1017,09981211449;0,000146527;0,035532136957574
RAM;4194304;double;8;3;Clock;0,004280874;0,00429465;976,6346500879;1,37760000000001E-05;0,003207711920645;0,003980757;0,004123788;1017,09981211449;0,000143031;0,034684372717511
RAM;4194304;double;8;4;Clock;0,004545454;0,00429465;976,6346500879;0,000250804;0,05839917106167;0,004381247;0,004123788;1017,09981211449;0,000257459;0,062432646877095
RAM;4194304;double;8;5;Clock;0,003965582;0,00429465;976,6346500879;0,000329068;0,076622774847776;0,003998615;0,004123788;1017,09981211449;0,000125173;0,030353888221218
RAM;4194304;double;8;6;Clock;0,004084826;0,00429465;976,6346500879;0,000209824;0,048857066349994;0,004008872;0,004123788;1017,09981211449;0,000114916;0,027866611959684
RAM;4194304;double;8;7;Clock;0,003990602;0,00429465;976,6346500879;0,000304048;0,070796921751482;0,003957569;0,004123788;1017,09981211449;0,000166219;0,040307358186212
RAM;4194304;double;8;8;Clock;0,00398275;0,00429465;976,6346500879;0,0003119;0,072625243034939;0,003985675;0,004123788;1017,09981211449;0,000138113;0,033491779887812
RAM;4194304;double;8;9;Clock;0,003999327;0,00429465;976,6346500879;0,000295323;0,068765324298837;0,004076412;0,004123788;1017,09981211449;4,7376E-05;0,011488466429409
RAM;4194304;double;8;10;Clock;0,004050199;0,00429465;976,6346500879;0,000244451;0,05691988869873;0,003994849;0,004123788;1017,09981211449;0,000128939;0,031267126244123
;;;;;;;;;;;;;;;
SSD;4194304;double;8;1;Clock;0,024664927;0,023332178;179,764786639293;0,001332749;0,057120642573531;0,013749976;0,013649724;307,281231473984;0,000100252;0,007344617371018
SSD;4194304;double;8;2;Clock;0,021999429;0,023332178;179,764786639293;0,001332749;0,057120642573531;0,013549471;0,013649724;307,281231473984;0,000100253;0,007344690632572
;;;;;;;;;;;;;;;
flash;4194304;double;8;1;Clock;0,17095211;0,177898181;23,5769920547979;0,006946071;0,039045205302015;0,013224534;0,0132517;316,510636371182;2,71660000000003E-05;0,00205000113193
flash;4194304;double;8;2;Clock;0,184844252;0,177898181;23,5769920547979;0,006946071;0,039045205302015;0,013278866;0,0132517;316,510636371182;2,71659999999986E-05;0,00205000113193
;;;;;;;;;;;;;;;
SSD;8388608;double;8;1;Clock;0,036914952;0,049783345;168,50229730445;0,012868393;0,258487913980067;0,026218261;0,029013671;289,126046821169;0,00279541;0,096348028486295
SSD;8388608;double;8;2;Clock;0,062651739;0,049783345;168,50229730445;0,012868394;0,258487934067106;0,031809081;0,029013671;289,126046821169;0,00279541;0,096348028486295
;;;;;;;;;;;;;;;
flash;8388608;double;8;1;Clock;0,624510211;0,511416317;16,402699173167;0,113093894;0,221138611031059;0,026415651;0,026728364;313,846668655066;0,000312713;0,011699668561832
flash;8388608;double;8;2;Clock;0,398322424;0,511416317;16,402699173167;0,113093893;0,221138609075705;0,027041077;0,026728364;313,846668655066;0,000312713;0,011699668561832
;;;;;;;;;;;;;;;
SSD;12582912;double;8;1;Clock;0,077514789;0,067705886;185,846648546922;0,009808903;0,144875188547123;0,038608573;0,04169642;301,774396938634;0,003087847;0,074055446486773
SSD;12582912;double;8;2;Clock;0,057896984;0,067705886;185,846648546922;0,009808902;0,144875173777358;0,044784267;0,04169642;301,774396938634;0,003087847;0,074055446486773
;;;;;;;;;;;;;;;
flash;12582912;double;8;1;Clock;1,876642848;3,635930631;3,46071288949187;1,759287783;0,483861756877396;0,06711258;0,066690735;188,675563404722;0,000421845;0,006325391375579
flash;12582912;double;8;2;Clock;5,395218415;3,635930631;3,46071288949187;1,759287784;0,483861757152429;0,066268889;0,066690735;188,675563404722;0,000421846;0,006325406370165
;;;;;;;;;;;;;;;
SSD;16777216;double;8;1;Clock;0,08352419;0,075325552;222,729413254084;0,008198638;0,108842720462241;0,064734483;0,066514114;252,235427807097;0,001779631;0,026755689777361
SSD;16777216;double;8;2;Clock;0,067126914;0,075325552;222,729413254084;0,008198638;0,108842720462241;0,068293745;0,066514114;252,235427807097;0,001779631;0,026755689777361
;;;;;;;;;;;;;;;
flash;16777216;double;8;1;Clock;4,0184709;3,634966126;4,61550821065341;0,383504773999999;0,105504359794961;0,086747754;0,079307909;211,545307543035;0,007439845;0,093809622442574
flash;16777216;double;8;2;Clock;3,251461351;3,634966126;4,61550821065341;0,383504775;0,105504360070067;0,071868065;0,079307909;211,545307543035;0,007439844;0,093809609833491
;;;;;;;;;;;;;;;
SSD;20971520;double;8;1;Clock;0,082990338;0,098129336;213,713053148551;0,015138998;0,154275964936724;0,130487641;0,105057394;199,619647904078;0,025430247;0,242060515988051
