FuncName;ElenentType;Optimization;Size;BlockSize;Timer;TimeFunc;
DGEMM;double;0;1000;40;clock();1.644236000;
DGEMM;double;0;2000;40;clock();46.204451000;
DGEMM;double;0;3000;40;clock();295.734343000;
DGEMM;double;0;4000;40;clock();770.519700000;
DGEMM;double;0;5000;40;clock();1675.468700000;
DGEMM;double;0;6000;40;clock();3663.874400000;
DGEMM;double;0;7000;40;clock();5446.667600000;
DGEMM;double;0;8000;40;clock();10267.553800000;
DGEMM;double;0;9000;40;clock();11059.104500000;
DGEMM;double;0;10000;40;clock();15993.202500000;
DGEMM;double;1;1000;40;clock();1.019682000;
DGEMM;double;2;1000;4;clock();1.719881000;
DGEMM;double;2;1000;8;clock();1.902552000;
DGEMM;double;2;1000;20;clock();1.162928000;
DGEMM;double;2;1000;40;clock();1.517373000;
DGEMM;double;2;1000;100;clock();1.138053000;
DGEMM;double;2;1000;200;clock();1.367136000;
DGEMM;double;3;1000;40;clock();0.490703000;
DGEMM;double;1;2000;40;clock();7.663004000;
DGEMM;double;2;2000;20;clock();10.255528000;
DGEMM;double;2;2000;40;clock();12.274294000;
DGEMM;double;3;2000;40;clock();3.995738000;
DGEMM;double;1;5000;40;clock();137.168300000;
DGEMM;double;2;5000;20;clock();113.146085000;
DGEMM;double;2;5000;40;clock();118.996538000;
DGEMM;double;3;5000;40;clock();43.046436000;
DGEMM;double;1;10000;100;clock();993.509000000;
DGEMM;double;2;10000;20;clock();930.430913000;
DGEMM;double;2;10000;100;clock();913.552885000;
DGEMM;double;3;10000;100;clock();365.838378000;
