FuncName;ElenentType;Optimization;Size;NumThreads;Timer;TimeFunc;
DGEMM;double;0;1000;2;clock();1.322857446;
DGEMM;double;1;1000;2;clock();0.671975433;
DGEMM;double;2;1000;2;clock();0.751483301;
DGEMM;double;0;1000;4;clock();1.361150717;
DGEMM;double;1;1000;4;clock();0.444882667;
DGEMM;double;2;1000;4;clock();0.448287890;
DGEMM;double;0;1000;8;clock();1.330364510;
DGEMM;double;1;1000;8;clock();0.404660095;
DGEMM;double;2;1000;8;clock();0.456866442;
DGEMM;double;0;1000;16;clock();1.396429340;
DGEMM;double;1;1000;16;clock();0.506137335;
DGEMM;double;2;1000;16;clock();0.513887230;
DGEMM;double;0;1000;32;clock();1.423791480;
DGEMM;double;1;1000;32;clock();0.556319389;
DGEMM;double;2;1000;32;clock();0.573654871;
DGEMM;double;0;2000;2;clock();38.786291518;
DGEMM;double;1;2000;2;clock();21.426135526;
DGEMM;double;2;2000;2;clock();21.920261640;
DGEMM;double;0;2000;4;clock();39.610517284;
DGEMM;double;1;2000;4;clock();13.973496414;
DGEMM;double;2;2000;4;clock();14.666601903;
DGEMM;double;0;2000;8;clock();41.439535860;
DGEMM;double;1;2000;8;clock();15.007030516;
DGEMM;double;2;2000;8;clock();14.079751947;
DGEMM;double;0;2000;16;clock();40.872137439;
DGEMM;double;1;2000;16;clock();13.618245492;
DGEMM;double;2;2000;16;clock();13.953781052;
DGEMM;double;0;2000;32;clock();44.371211598;
DGEMM;double;1;2000;32;clock();15.175503332;
DGEMM;double;2;2000;32;clock();15.294766810;
DGEMM;double;0;3000;2;clock();291.117995448;
DGEMM;double;1;3000;2;clock();167.812187623;
DGEMM;double;2;3000;2;clock();162.432456804;
DGEMM;double;1;3000;4;clock();105.214380007;
DGEMM;double;2;3000;4;clock();106.225757841;
DGEMM;double;1;3000;8;clock();104.885775511;
DGEMM;double;2;3000;8;clock();105.343074362;
DGEMM;double;1;3000;16;clock();110.817838256;
DGEMM;double;2;3000;16;clock();109.415288764;
DGEMM;double;1;3000;32;clock();107.027998993;
DGEMM;double;2;3000;32;clock();109.146223564;
