N;M;Threads per block;CUDA C;CUDA C opt;Thrust;CuBlas;
32;32;32;0.007200;0.006083;0.003411;0.004496;
64;32;32;0.007155;0.006579;0.003350;0.003939;
128;32;32;0.007632;0.006131;0.003392;0.003846;
256;32;32;0.008717;0.006355;0.003466;0.003792;
512;32;32;0.011786;0.007610;0.004352;0.004022;
1024;32;32;0.016640;0.009434;0.006906;0.004870;
2048;32;32;0.026150;0.012851;0.011475;0.007376;
4096;32;32;0.046483;0.020301;0.026890;0.011309;
8192;32;32;0.087222;0.038586;0.079008;0.026474;
16384;32;32;0.166813;0.071661;0.230477;0.049184;
32768;32;32;0.326963;0.136678;0.470909;0.094208;
