name;price;marketcap
Bitcoin;$30,264.76;$576.30B
Ethereum;$2,065.17;$249.49B
Tether;$0.9988;$75.66B
USD Coin;$1.00;$52.10B
BNB;$305.02;$49.64B
XRP;$0.4345;$21.00B
Cardano;$0.5701;$19.24B
Solana;$55.68;$18.63B
Binance USD;$1.00;$18.02B
Dogecoin;$0.08944;$11.87B
Polkadot;$10.96;$10.82B
Avalanche;$34.40;$9.18B
Wrapped Bitcoin;$30,283.87;$8.60B
TRON;$0.07021;$6.86B
Shiba Inu;$0.00001237;$6.79B
Dai;$1.00;$6.45B
Polygon;$0.7023;$5.58B
Cronos;$0.1991;$5.03B
Litecoin;$70.44;$4.95B
UNUS SED LEO;$4.93;$4.71B
NEAR Protocol;$6.75;$4.66B
FTX Token;$32.14;$4.38B
Bitcoin Cash;$205.71;$3.92B
Uniswap;$5.24;$3.77B
Chainlink;$7.72;$3.59B
